Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Len,2017-18,24.0,PHO,NBA,C,69.0,13.0,20.2,3.1,5.5,0.566,0.0,0.0,0.333,3.1,5.4,0.568,0.567,2.3,3.3,0.684,2.5,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.5
Alex Len,2018-19,25.0,ATL,NBA,C,77.0,31.0,20.1,4.2,8.4,0.494,1.0,2.6,0.363,3.2,5.8,0.554,0.551,1.8,2.8,0.648,2.1,3.5,5.5,1.1,0.4,0.9,1.3,2.6,11.1
Alex Len,2019-20,26.0,TOT,NBA,C,55.0,12.0,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0
Alex Len,2019-20,26.0,ATL,NBA,C,40.0,9.0,18.6,3.6,6.5,0.546,0.4,1.4,0.25,3.2,5.1,0.627,0.573,1.3,2.0,0.63,1.7,4.0,5.8,1.1,0.5,0.8,1.0,2.3,8.7
Alex Len,2019-20,26.0,SAC,NBA,C,15.0,3.0,15.0,2.3,3.9,0.593,0.1,0.2,0.667,2.2,3.7,0.589,0.61,1.1,1.6,0.708,2.1,4.0,6.1,0.5,0.2,1.0,1.1,2.3,5.9
Alex Len,2020-21,27.0,TOT,NBA,C,64.0,42.0,15.3,2.7,4.3,0.615,0.1,0.4,0.32,2.5,4.0,0.644,0.629,1.1,1.8,0.629,1.2,2.8,4.1,0.8,0.3,1.0,0.9,2.0,6.6
Alex Len,2020-21,27.0,TOR,NBA,C,7.0,2.0,10.9,0.7,1.4,0.5,0.4,0.9,0.5,0.3,0.6,0.5,0.65,0.4,0.9,0.5,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
Alex Len,2020-21,27.0,WAS,NBA,C,57.0,40.0,15.8,2.9,4.7,0.619,0.1,0.3,0.263,2.8,4.4,0.647,0.629,1.2,1.9,0.636,1.4,3.0,4.4,0.8,0.3,1.0,0.8,2.1,7.1
Alex Len,2021-22,28.0,SAC,NBA,C,39.0,10.0,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4.0,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6.0
Alex Len,2022-23,29.0,SAC,NBA,C,26.0,2.0,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7
Alex Len,Career,,,NBA,,596.0,237.0,18.3,2.8,5.6,0.507,0.2,0.6,0.327,2.7,5.1,0.527,0.524,1.5,2.2,0.683,1.8,3.9,5.7,0.8,0.4,0.9,1.2,2.5,7.4
Alfonzo McKinnie,2017-18,25.0,TOR,NBA,SF,14.0,0.0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5
Alfonzo McKinnie,2018-19,26.0,GSW,NBA,SF,72.0,5.0,13.9,1.9,3.8,0.487,0.6,1.6,0.356,1.3,2.2,0.586,0.564,0.4,0.7,0.563,1.1,2.3,3.4,0.4,0.3,0.2,0.4,1.9,4.7
Alfonzo McKinnie,2019-20,27.0,CLE,NBA,SF,40.0,1.0,14.8,1.8,4.3,0.427,0.4,1.6,0.215,1.5,2.7,0.557,0.468,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6
Alfonzo McKinnie,2020-21,28.0,LAL,NBA,SF,39.0,0.0,6.6,1.2,2.4,0.516,0.4,1.0,0.41,0.8,1.4,0.593,0.602,0.3,0.5,0.556,0.6,0.8,1.4,0.2,0.2,0.0,0.1,0.7,3.1
Alfonzo McKinnie,2021-22,29.0,CHI,NBA,SF,17.0,3.0,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2.0,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5
Alfonzo McKinnie,Career,,,NBA,,182.0,9.0,11.6,1.6,3.4,0.467,0.5,1.4,0.326,1.1,2.0,0.569,0.535,0.3,0.6,0.583,0.8,1.6,2.5,0.3,0.3,0.1,0.4,1.5,4.0
Alvin Robertson,1984-85,22.0,SAS,NBA,SG,79,9,21.3,3.8,7.6,.498,0.1,0.1,.364,3.7,7.5,.501,.502,1.6,2.1,.734,1.5,1.9,3.4,3.5,1.6,0.3,2.1,2.7,9.2
Alvin Robertson,1985-86,23.0,SAS,NBA,SG,82,82,35.1,6.9,13.3,.514,0.1,0.4,.276,6.8,13.0,.521,.518,3.2,4.0,.795,2.2,4.0,6.3,5.5,3.7,0.5,3.1,3.6,17.0
Alvin Robertson,1986-87,24.0,SAS,NBA,SG,81,78,33.3,7.3,15.6,.466,0.2,0.6,.271,7.1,15.0,.474,.471,3.0,4.0,.753,2.3,2.9,5.2,5.2,3.2,0.4,3.0,3.3,17.7
Alvin Robertson,1987-88,25.0,SAS,NBA,SG,82,82,36.3,8.0,17.2,.465,0.3,1.2,.284,7.7,16.0,.478,.475,3.3,4.5,.748,2.0,4.1,6.1,6.8,3.0,0.8,3.1,3.7,19.6
Alvin Robertson,1988-89,26.0,SAS,NBA,SG,65,65,35.2,7.2,14.8,.483,0.1,0.7,.200,7.0,14.1,.497,.488,2.8,3.9,.723,2.4,3.5,5.9,6.0,3.0,0.6,3.6,4.0,17.3
Alvin Robertson,1989-90,27.0,MIL,NBA,SG,81,81,32.1,5.9,11.7,.503,0.0,0.3,.154,5.8,11.4,.513,.505,2.4,3.3,.741,2.8,4.1,6.9,5.5,2.6,0.2,2.7,3.5,14.2
Alvin Robertson,1990-91,28.0,MIL,NBA,SG,81,81,32.1,5.4,11.2,.485,0.3,0.8,.365,5.1,10.4,.493,.497,2.5,3.2,.757,2.4,3.3,5.7,5.5,3.0,0.2,2.6,3.4,13.6
Alvin Robertson,1991-92,29.0,MIL,NBA,SG,82,79,30.0,4.8,11.2,.430,0.8,2.6,.319,4.0,8.7,.462,.466,1.8,2.4,.763,2.1,2.1,4.3,4.4,2.6,0.4,2.7,3.2,12.3
Alvin Robertson,1992-93,30.0,TOT,NBA,SG,69,54,29.1,3.6,7.8,.458,0.6,1.8,.328,3.0,6.0,.496,.495,1.2,1.9,.656,1.6,2.3,3.9,3.8,2.2,0.3,1.9,3.2,9.0
Alvin Robertson,1992-93,30.0,MIL,NBA,SG,39,32,27.3,3.6,7.4,.479,0.4,1.4,.309,3.1,6.0,.519,.509,1.1,1.8,.629,1.2,2.3,3.5,4.0,2.3,0.2,2.0,3.1,8.7
Alvin Robertson,1992-93,30.0,DET,NBA,SG,30,22,31.4,3.6,8.3,.434,0.8,2.2,.343,2.8,6.1,.467,.480,1.3,1.9,.690,2.0,2.4,4.4,3.6,2.2,0.3,1.9,3.3,9.3
Alvin Robertson,1995-96,33.0,TOR,NBA,SG,77,69,32.2,3.7,7.9,.470,0.5,2.0,.272,3.2,5.9,.535,.503,1.4,2.1,.677,1.4,3.0,4.4,4.2,2.2,0.5,2.4,3.5,9.3
Alvin Robertson,Career,,,NBA,,779,680,31.7,5.7,11.9,.477,0.3,1.0,.295,5.4,10.8,.494,.490,2.3,3.1,.743,2.1,3.1,5.2,5.0,2.7,0.4,2.7,3.4,14.0
Alvin Williams,1997-98,23.0,TOT,NBA,SG,54,13,19.8,2.3,5.2,.443,0.2,0.5,.321,2.1,4.7,.457,.459,1.2,1.7,.722,0.4,1.1,1.5,1.9,0.7,0.1,1.1,1.5,6.0
Alvin Williams,1997-98,23.0,POR,NBA,SG,41,10,21.1,2.7,5.8,.458,0.2,0.6,.292,2.5,5.2,.477,.473,1.4,1.9,.734,0.5,1.0,1.5,2.0,0.7,0.0,1.2,1.5,6.9
Alvin Williams,1997-98,23.0,TOR,NBA,SG,13,3,15.9,1.2,3.4,.364,0.2,0.3,.500,1.1,3.1,.350,.386,0.5,0.8,.636,0.4,1.2,1.6,1.5,0.6,0.1,0.6,1.5,3.2
Alvin Williams,1998-99,24.0,TOR,NBA,PG,50,45,21.0,1.9,4.7,.401,0.3,0.8,.333,1.6,3.9,.415,.430,0.9,1.0,.846,0.4,1.3,1.6,2.6,1.0,0.2,1.1,1.9,5.0
